Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Covid_death,All_causes_death
10/20/21,1/1/20,10/16/21,AK,Aleutians East Borough,2013,Noncore,,14
10/20/21,1/1/20,10/16/21,AK,Anchorage Municipality,2020,Medium metro,366,"4,133"
10/20/21,1/1/20,10/16/21,AK,Bethel Census Area,2050,Noncore,18,194
10/20/21,1/1/20,10/16/21,AK,Denali Borough,2068,Noncore,,11
10/20/21,1/1/20,10/16/21,AK,Dillingham Census Area,2070,Noncore,,45
10/20/21,1/1/20,10/16/21,AK,Fairbanks North Star Borough,2090,Small metro,85,954
10/20/21,1/1/20,10/16/21,AK,Hoonah-Angoon Census Area,2105,Noncore,,24
10/20/21,1/1/20,10/16/21,AK,Juneau City and Borough,2110,Micropolitan,,307
10/20/21,1/1/20,10/16/21,AK,Kenai Peninsula Borough,2122,Noncore,31,680
10/20/21,1/1/20,10/16/21,AK,Ketchikan Gateway Borough,2130,Micropolitan,10,175
10/20/21,1/1/20,10/16/21,AK,Kodiak Island Borough,2150,Noncore,,127
10/20/21,1/1/20,10/16/21,AK,Matanuska-Susitna Borough,2170,Medium metro,91,"1,164"
10/20/21,1/1/20,10/16/21,AK,North Slope Borough,2185,Noncore,,65
10/20/21,1/1/20,10/16/21,AK,Northwest Arctic Borough,2188,Noncore,,76
10/20/21,1/1/20,10/16/21,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,76
10/20/21,1/1/20,10/16/21,AK,Sitka City and Borough,2220,Noncore,,101
10/20/21,1/1/20,10/16/21,AK,Southeast Fairbanks Census Area,2240,Noncore,,61
10/20/21,1/1/20,10/16/21,AK,Valdez-Cordova Census Area,2261,Noncore,,79
10/20/21,1/1/20,10/16/21,AK,Wade Hampton Census Area,2270,Noncore,,77
10/20/21,1/1/20,10/16/21,AL,Autauga County,1001,Medium metro,122,956
10/20/21,1/1/20,10/16/21,AL,Baldwin County,1003,Small metro,473,"4,386"
10/20/21,1/1/20,10/16/21,AL,Barbour County,1005,Noncore,58,500
10/20/21,1/1/20,10/16/21,AL,Bibb County,1007,Large fringe metro,38,354
10/20/21,1/1/20,10/16/21,AL,Blount County,1009,Large fringe metro,63,916
10/20/21,1/1/20,10/16/21,AL,Bullock County,1011,Noncore,,181
10/20/21,1/1/20,10/16/21,AL,Butler County,1013,Noncore,55,452
10/20/21,1/1/20,10/16/21,AL,Calhoun County,1015,Small metro,444,"3,031"
10/20/21,1/1/20,10/16/21,AL,Chambers County,1017,Micropolitan,42,666
10/20/21,1/1/20,10/16/21,AL,Cherokee County,1019,Noncore,23,521
10/20/21,1/1/20,10/16/21,AL,Chilton County,1021,Large fringe metro,51,738
10/20/21,1/1/20,10/16/21,AL,Choctaw County,1023,Noncore,17,218
10/20/21,1/1/20,10/16/21,AL,Clarke County,1025,Noncore,22,519
10/20/21,1/1/20,10/16/21,AL,Clay County,1027,Noncore,42,355
10/20/21,1/1/20,10/16/21,AL,Cleburne County,1029,Noncore,22,268
10/20/21,1/1/20,10/16/21,AL,Coffee County,1031,Micropolitan,150,"1,017"
10/20/21,1/1/20,10/16/21,AL,Colbert County,1033,Small metro,238,"1,364"
10/20/21,1/1/20,10/16/21,AL,Conecuh County,1035,Noncore,26,252
10/20/21,1/1/20,10/16/21,AL,Coosa County,1037,Micropolitan,,154
10/20/21,1/1/20,10/16/21,AL,Covington County,1039,Noncore,179,"1,066"
10/20/21,1/1/20,10/16/21,AL,Crenshaw County,1041,Noncore,40,330
10/20/21,1/1/20,10/16/21,AL,Cullman County,1043,Micropolitan,304,"2,143"
10/20/21,1/1/20,10/16/21,AL,Dale County,1045,Micropolitan,105,850
10/20/21,1/1/20,10/16/21,AL,Dallas County,1047,Micropolitan,148,958
10/20/21,1/1/20,10/16/21,AL,DeKalb County,1049,Noncore,157,"1,383"
10/20/21,1/1/20,10/16/21,AL,Elmore County,1051,Medium metro,69,"1,246"
10/20/21,1/1/20,10/16/21,AL,Escambia County,1053,Noncore,106,797
10/20/21,1/1/20,10/16/21,AL,Etowah County,1055,Small metro,522,"3,229"
10/20/21,1/1/20,10/16/21,AL,Fayette County,1057,Noncore,35,315
10/20/21,1/1/20,10/16/21,AL,Franklin County,1059,Noncore,42,588
10/20/21,1/1/20,10/16/21,AL,Geneva County,1061,Small metro,74,642
10/20/21,1/1/20,10/16/21,AL,Greene County,1063,Noncore,,139
10/20/21,1/1/20,10/16/21,AL,Hale County,1065,Small metro,21,274
10/20/21,1/1/20,10/16/21,AL,Henry County,1067,Small metro,,271
10/20/21,1/1/20,10/16/21,AL,Houston County,1069,Small metro,815,"4,037"
10/20/21,1/1/20,10/16/21,AL,Jackson County,1071,Micropolitan,116,"1,233"
10/20/21,1/1/20,10/16/21,AL,Jefferson County,1073,Large central metro,"2,834","20,480"
10/20/21,1/1/20,10/16/21,AL,Lamar County,1075,Noncore,13,207
10/20/21,1/1/20,10/16/21,AL,Lauderdale County,1077,Small metro,355,"2,798"
10/20/21,1/1/20,10/16/21,AL,Lawrence County,1079,Small metro,32,598
10/20/21,1/1/20,10/16/21,AL,Lee County,1081,Small metro,405,"2,489"
10/20/21,1/1/20,10/16/21,AL,Limestone County,1083,Medium metro,152,"1,586"
10/20/21,1/1/20,10/16/21,AL,Lowndes County,1085,Medium metro,10,154
10/20/21,1/1/20,10/16/21,AL,Macon County,1087,Noncore,13,286
10/20/21,1/1/20,10/16/21,AL,Madison County,1089,Medium metro,927,"8,307"
10/20/21,1/1/20,10/16/21,AL,Marengo County,1091,Noncore,91,531
10/20/21,1/1/20,10/16/21,AL,Marion County,1093,Noncore,95,748
10/20/21,1/1/20,10/16/21,AL,Marshall County,1095,Micropolitan,293,"2,413"
10/20/21,1/1/20,10/16/21,AL,Mobile County,1097,Medium metro,"1,486","10,800"
10/20/21,1/1/20,10/16/21,AL,Monroe County,1099,Noncore,45,455
10/20/21,1/1/20,10/16/21,AL,Montgomery County,1101,Medium metro,"1,112","6,387"
10/20/21,1/1/20,10/16/21,AL,Morgan County,1103,Small metro,316,"2,669"
10/20/21,1/1/20,10/16/21,AL,Perry County,1105,Noncore,12,149
10/20/21,1/1/20,10/16/21,AL,Pickens County,1107,Small metro,18,308
10/20/21,1/1/20,10/16/21,AL,Pike County,1109,Micropolitan,88,600
10/20/21,1/1/20,10/16/21,AL,Randolph County,1111,Noncore,19,393
10/20/21,1/1/20,10/16/21,AL,Russell County,1113,Medium metro,59,765
10/20/21,1/1/20,10/16/21,AL,St. Clair County,1115,Large fringe metro,144,"1,541"
10/20/21,1/1/20,10/16/21,AL,Shelby County,1117,Large fringe metro,236,"2,672"
10/20/21,1/1/20,10/16/21,AL,Sumter County,1119,Noncore,10,209
10/20/21,1/1/20,10/16/21,AL,Talladega County,1121,Micropolitan,204,"1,763"
10/20/21,1/1/20,10/16/21,AL,Tallapoosa County,1123,Noncore,140,"1,066"
10/20/21,1/1/20,10/16/21,AL,Tuscaloosa County,1125,Small metro,794,"4,693"
10/20/21,1/1/20,10/16/21,AL,Walker County,1127,Large fringe metro,270,"1,956"
10/20/21,1/1/20,10/16/21,AL,Washington County,1129,Noncore,17,249
10/20/21,1/1/20,10/16/21,AL,Wilcox County,1131,Noncore,11,175
10/20/21,1/1/20,10/16/21,AL,Winston County,1133,Noncore,47,515
10/20/21,1/1/20,10/16/21,AR,Arkansas County,5001,Noncore,18,404
10/20/21,1/1/20,10/16/21,AR,Ashley County,5003,Noncore,15,356
10/20/21,1/1/20,10/16/21,AR,Baxter County,5005,Micropolitan,264,"1,804"
10/20/21,1/1/20,10/16/21,AR,Benton County,5007,Medium metro,663,"3,930"
10/20/21,1/1/20,10/16/21,AR,Boone County,5009,Micropolitan,108,859
10/20/21,1/1/20,10/16/21,AR,Bradley County,5011,Noncore,20,183
10/20/21,1/1/20,10/16/21,AR,Carroll County,5015,Noncore,24,406
10/20/21,1/1/20,10/16/21,AR,Chicot County,5017,Noncore,23,216
10/20/21,1/1/20,10/16/21,AR,Clark County,5019,Micropolitan,28,393
10/20/21,1/1/20,10/16/21,AR,Clay County,5021,Noncore,34,327
10/20/21,1/1/20,10/16/21,AR,Cleburne County,5023,Noncore,38,519
10/20/21,1/1/20,10/16/21,AR,Cleveland County,5025,Small metro,10,123
10/20/21,1/1/20,10/16/21,AR,Columbia County,5027,Micropolitan,67,485
10/20/21,1/1/20,10/16/21,AR,Conway County,5029,Noncore,10,349
10/20/21,1/1/20,10/16/21,AR,Craighead County,5031,Small metro,776,"4,363"
