State_full_name,GDP
California,3120386
Texas,1772132
New York,1705127
Florida,1111614
Illinois,875671
Pennsylvania,788500
Ohio,683460
Washington,632013
Georgia,627667
New Jersey,625659
North Carolina,594126
Massachusetts,590307
Virginia,557986
Michigan,524828
Maryland,427616
Colorado,394271
Minnesota,379388
Indiana,379293
Arizona,378297
Tennessee,369063
Wisconsin,344500
Missouri,325841
Connecticut,283601
Oregon,253849
South Carolina,245473
Louisiana,244577
Alabama,228062
Kentucky,213169
Utah,198630
Iowa,195353
Oklahoma,186883
Nevada,175509
Kansas,175465
Arkansas,130709
Nebraska,129761
Mississippi,115900
New Mexico,100777
Hawaii,89866
New Hampshire,86319
Idaho,85552
Delaware,76468
West Virginia,74511
Maine,67129
Rhode Island,61081
South Dakota,55243
North Dakota,54044
Montana,51934
Alaska,50413
Wyoming,36000
Vermont,33278
District of Columbia,143389
